feature	frequency	rank	docfreq	group	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	feature_x
attent	21	1	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	7
grab	19	2	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	6
gentl	15	3	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	4
comfort	17	1	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	1
calm	16	2	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	3
attent	12	3	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	7
gentl	17	1	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	4
calm	16	2	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	3
comfort	16	2	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	1
comfort	19	1	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	1
calm	17	2	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	3
attent	16	3	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	7
gentl	25	1	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	4
calm	23	2	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	3
sensual	18	3	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	5
gentl	17	1	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	4
comfort	16	2	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	1
calm	13	3	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	3
calm	17	1	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	3
comfort	17	1	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	1
warm	17	1	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	8
calm	16	1	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	3
gentl	14	2	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	4
attent	12	3	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	7
warm	14	1	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	8
pleasant	13	2	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	9
calm	12	3	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	3
annoy	22	1	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	2
attent	11	2	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	7
grab	11	2	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	6
