feature	frequency	rank	docfreq	group	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	feature_x
get_my_attent	28	1	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	3
attent	19	2	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	2
want	13	3	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	7
show	19	1	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	4
attent	14	2	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	2
want	14	2	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	7
comfort	21	1	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	1
want	17	2	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	7
make	17	2	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	6
want	22	1	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	7
attent	20	2	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	2
comfort	18	3	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	1
show	16	1	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	4
love	16	1	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	9
affect	15	3	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	8
feel	16	1	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	5
love	12	2	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	9
want	10	3	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	7
show	19	1	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	4
attent	17	2	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	2
feel	17	2	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	5
want	22	1	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	7
attent	16	2	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	2
get_my_attent	16	2	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	3
attent	16	1	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	2
show	14	2	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	4
want	13	3	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	7
want	22	1	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	7
attent	20	2	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	2
get_my_attent	19	3	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	3
show	30	1	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	4
feel	24	2	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	5
make	20	3	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	6
want	25	1	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	7
attent	22	2	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	2
get_my_attent	17	3	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	3
comfort	22	1	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	1
show	20	2	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	4
feel	17	3	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	5
comfort	39	1	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	1
feel	25	2	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	5
show	24	3	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	4
feel	27	1	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	5
comfort	26	2	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	1
show	18	3	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	4
comfort	30	1	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	1
