feature	frequency	rank	docfreq	group	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	feature_x
tap	40	1	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	2
soft	32	2	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	5
gentl	21	3	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	8
pat	26	1	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	3
tap	20	2	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	2
press	14	3	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	10
tap	36	1	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	2
pat	26	2	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	3
soft	17	3	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	5
pat	32	1	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	3
tap	25	2	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	2
fast	16	3	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	12
soft	33	1	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	5
smooth	23	2	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	7
gentl	22	3	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	8
rub	27	1	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	1
soft	22	2	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	5
warm	20	3	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	4
soft	27	1	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	5
rub	24	2	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	1
warm	21	3	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	4
rub	40	1	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	1
press	20	2	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	10
soft	15	3	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	5
rub	37	1	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	1
soft	24	2	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	5
tickl	14	3	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	13
rub	35	1	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	1
press	22	2	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	10
poke	14	3	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	6
soft	35	1	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	5
warm	28	2	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	4
stroke	20	3	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	9
poke	32	1	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	6
press	28	2	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	10
tap	20	3	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	2
warm	31	1	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	4
soft	24	2	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	5
stroke	21	3	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	9
warm	40	1	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	4
soft	33	2	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	5
rub	30	3	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	1
rub	35	1	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	1
warm	25	2	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	4
soft	18	3	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	5
rub	38	1	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	1
soft	26	2	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	5
warm	19	3	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	4
rub	49	1	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	1
friction	18	2	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	11
fast	17	3	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	12
tap	31	1	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	2
poke	20	2	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	6
soft	18	3	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	5
poke	30	1	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	6
tap	25	2	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	2
press	17	3	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	10
tap	40	1	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	2
poke	19	2	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	6
soft	18	3	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	5
tap	31	1	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	2
poke	28	2	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	6
press	16	3	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	10
soft	40	1	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	5
warm	35	2	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	4
pat	28	3	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	3
pat	23	1	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	3
warm	21	2	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	4
soft	19	3	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	5
soft	29	1	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	5
tap	26	2	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	2
pat	26	2	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	3
