feature	frequency	rank	docfreq	group	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	feature_x
arm	36	1	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	1
shoulder	28	2	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	2
hand	24	3	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	4
arm	33	1	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	1
shoulder	28	2	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	2
hand	16	3	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	4
arm	32	1	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	1
shoulder	30	2	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	2
hand	21	3	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	4
arm	34	1	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	1
shoulder	26	2	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	2
back	20	3	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	3
arm	45	1	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	1
hand	35	2	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	4
back	15	3	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	3
arm	39	1	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	1
hand	18	2	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	4
forearm	15	3	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	5
arm	38	1	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	1
hand	27	2	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	4
forearm	14	3	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	5
arm	53	1	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	1
forearm	18	2	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	5
hand	18	2	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	4
arm	52	1	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	1
hand	19	2	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	4
forearm	11	3	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	5
arm	47	1	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	1
hand	22	2	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	4
forearm	13	3	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	5
arm	33	1	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	1
hand	26	2	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	4
back	20	3	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	3
arm	43	1	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	1
shoulder	14	2	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	2
forearm	13	3	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	5
arm	42	1	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	1
back	23	2	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	3
hand	18	3	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	4
arm	43	1	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	1
back	32	2	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	3
hand	17	3	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	4
arm	56	1	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	1
back	16	2	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	3
shoulder	15	3	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	2
arm	36	1	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	1
back	24	2	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	3
forearm	19	3	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	5
arm	40	1	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	1
back	29	2	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	3
hand	17	3	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	4
arm	29	1	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	1
shoulder	25	2	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	2
hand	22	3	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	4
arm	39	1	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	1
shoulder	22	2	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	2
hand	16	3	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	4
arm	38	1	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	1
shoulder	25	2	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	2
hand	17	3	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	4
arm	44	1	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	1
shoulder	25	2	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	2
hand	15	3	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	4
arm	41	1	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	1
hand	31	2	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	4
shoulder	28	3	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	2
arm	31	1	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	1
shoulder	23	2	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	2
hand	20	3	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	4
arm	33	1	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	1
shoulder	27	2	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	2
back	20	3	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	3
