feature	frequency	rank	docfreq	group	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	feature_x
attent	14	1	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	6
friend	12	2	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	10
tap	11	3	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	12
talk	14	1	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	5
friend	12	2	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	10
tap	7	3	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	12
tap	11	1	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	12
shoulder	11	1	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	11
child	9	3	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	2
want	9	1	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	8
watch	9	1	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	4
arm	8	3	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	9
arm	14	1	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	9
watch	14	1	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	4
talk	12	3	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	5
watch	14	1	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	4
arm	9	2	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	9
sit	9	2	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	15
watch	14	1	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	4
friend	12	2	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	10
arm	11	3	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	9
rub	20	1	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	1
arm	18	2	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	9
watch	14	3	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	4
arm	12	1	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	9
watch	12	1	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	4
sit	11	3	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	15
watch	16	1	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	4
rub	13	2	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	1
arm	12	3	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	9
watch	14	1	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	4
hand	12	2	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	14
comfort	12	2	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	3
attent	13	1	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	6
want	12	2	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	8
poke	12	2	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	7
watch	14	1	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	4
rub	11	2	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	1
arm	9	3	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	9
comfort	16	1	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	3
talk	14	2	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	5
watch	12	3	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	4
arm	14	1	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	9
rub	13	2	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	1
comfort	12	3	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	3
rub	15	1	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	1
comfort	11	2	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	3
friend	9	3	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	10
rub	21	1	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	1
friend	11	2	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	10
arm	11	2	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	9
watch	13	1	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	4
attent	11	2	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	6
get_my_attent	10	3	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	13
attent	12	1	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	6
arm	11	2	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	9
want	10	3	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	8
want	17	1	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	8
attent	13	2	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	6
tap	12	3	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	12
child	19	1	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	2
attent	11	2	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	6
friend	10	3	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	10
comfort	19	1	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	3
friend	14	2	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	10
talk	14	2	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	5
arm	10	1	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	9
comfort	10	1	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	3
hand	8	3	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	14
talk	12	1	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	5
friend	11	2	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	10
work	10	3	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	16
