feature	frequency	rank	docfreq	group	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	feature_x
home	33	1	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	1
offic	12	2	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	7
room	10	3	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	6
home	33	1	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	1
hous	13	2	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	4
room	9	3	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	6
home	33	1	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	1
room	10	2	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	6
work	9	3	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	3
home	36	1	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	1
work	9	2	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	3
room	8	3	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	6
home	48	1	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	1
bedroom	11	2	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	5
room	10	3	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	6
home	31	1	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	1
sofa	12	2	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	2
offic	11	3	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	7
home	42	1	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	1
room	8	2	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	6
sit	8	2	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	9
home	47	1	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	1
sofa	17	2	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	2
offic	10	3	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	7
home	39	1	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	1
room	11	2	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	6
