feature	frequency	rank	docfreq	group	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	feature_x
friend	25	1	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	1
child	14	2	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	3
stranger	11	3	1	1	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	7
friend	29	1	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	1
family_memb	10	2	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	4
child	7	3	1	10	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	3
friend	35	1	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	1
child	14	2	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	3
colleagu	12	3	1	11	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	6
friend	24	1	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	1
family_memb	15	2	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	4
child	11	3	1	12	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	3
romantic_partn	36	1	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	2
partner	13	2	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	5
friend	9	3	1	13	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	1
romantic_partn	29	1	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	2
friend	14	2	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	1
doctor	10	3	1	14	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	8
friend	22	1	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	1
romantic_partn	20	2	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	2
partner	8	3	1	15	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	5
romantic_partn	22	1	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	2
friend	18	2	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	1
child	13	3	1	16	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	3
friend	22	1	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	1
romantic_partn	19	2	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	2
family_memb	9	3	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	4
friend	19	1	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	1
child	16	2	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	3
romantic_partn	14	3	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	2
